Grootheid.code;Grootheid.omschrijving;Parameter.code;Parameter.omschrijving;CAS-nummer;Eenheid.code;Hoedanigheid.code;Compartiment.code;KRWwatertype.code;Waardebewerkingmethode.code;Begindatum;Einddatum;Zeer goed;Goed;Matig;Ontoereikend;Slecht;Bijzondere Omstandigheid
CONCTTE;(massa)Concentratie;Cl;chloride;16887-00-6;mg/l;NVT;OW;M1a;ZGM;2000-01-01;;<=150;<=150;<=200;<=300;>300;
CONCTTE;(massa)Concentratie;Cl;chloride;16887-00-6;mg/l;NVT;OW;M1b;ZGM;2000-01-01;;>=150.0 EN <=1000;>=150.0 EN <=1000;>=100 EN <=150 OF >1000;>=50.0 EN <=100;<50;
CONCTTE;(massa)Concentratie;Cl;chloride;16887-00-6;mg/l;NVT;OW;M2;ZGM;2000-01-01;;<=20;<=150;<=200;<=300;>300;
CONCTTE;(massa)Concentratie;Cl;chloride;16887-00-6;mg/l;NVT;OW;M3;ZGM;2000-01-01;;<=300;<=300;<=350;<=400;>400;
CONCTTE;(massa)Concentratie;Cl;chloride;16887-00-6;mg/l;NVT;OW;M4;ZGM;2000-01-01;;<=20;<=150;<=200;<=300;>300;
CONCTTE;(massa)Concentratie;Cl;chloride;16887-00-6;mg/l;NVT;OW;M5;ZGM;2000-01-01;;<=200;<=200;<=250;<=300;>300;
CONCTTE;(massa)Concentratie;Cl;chloride;16887-00-6;mg/l;NVT;OW;M6a;ZGM;2000-01-01;;<=300;<=300;<=350;<=400;>400;
CONCTTE;(massa)Concentratie;Cl;chloride;16887-00-6;mg/l;NVT;OW;M6b;ZGM;2000-01-01;;<=300;<=300;<=350;<=400;>400;
CONCTTE;(massa)Concentratie;Cl;chloride;16887-00-6;mg/l;NVT;OW;M7a;ZGM;2000-01-01;;<=300;<=300;<=350;<=400;>400;
CONCTTE;(massa)Concentratie;Cl;chloride;16887-00-6;mg/l;NVT;OW;M7b;ZGM;2000-01-01;;<=300;<=300;<=350;<=400;>400;
CONCTTE;(massa)Concentratie;Cl;chloride;16887-00-6;mg/l;NVT;OW;M8;ZGM;2000-01-01;;<=300;<=300;<=350;<=400;>400;
CONCTTE;(massa)Concentratie;Cl;chloride;16887-00-6;mg/l;NVT;OW;M9;ZGM;2000-01-01;;<=40;<=40;<=100;<=150;>150;
CONCTTE;(massa)Concentratie;Cl;chloride;16887-00-6;mg/l;NVT;OW;M10;ZGM;2000-01-01;;<=300;<=300;<=350;<=400;>400;
CONCTTE;(massa)Concentratie;Cl;chloride;16887-00-6;mg/l;NVT;OW;M11;ZGM;2000-01-01;;<=200;<=200;<=250;<=300;>300;
CONCTTE;(massa)Concentratie;Cl;chloride;16887-00-6;mg/l;NVT;OW;M12;ZGM;2000-01-01;;<=20;<=40;<=75;<=100;>100;
CONCTTE;(massa)Concentratie;Cl;chloride;16887-00-6;mg/l;NVT;OW;M13;ZGM;2000-01-01;;<=120;<=200;<=250;<=300;>300;
CONCTTE;(massa)Concentratie;Cl;chloride;16887-00-6;mg/l;NVT;OW;M14;ZGM;2000-01-01;;<=200;<=200;<=250;<=300;>300;
CONCTTE;(massa)Concentratie;Cl;chloride;16887-00-6;mg/l;NVT;OW;M16;ZGM;2000-01-01;;<=200;<=200;<=250;<=300;>300;
CONCTTE;(massa)Concentratie;Cl;chloride;16887-00-6;mg/l;NVT;OW;M17;ZGM;2000-01-01;;<=200;<=200;<=250;<=300;>300;
CONCTTE;(massa)Concentratie;Cl;chloride;16887-00-6;mg/l;NVT;OW;M18;ZGM;2000-01-01;;<=200;<=200;<=250;<=300;>300;
