Grootheid.code;Grootheid.omschrijving;Parameter.code;Parameter.omschrijving;CAS-nummer;Eenheid.code;Hoedanigheid.code;Compartiment.code;KRWwatertype.code;GeoObject.identificatie;Waardebewerkingmethode.code;Begindatum;Einddatum;Zeer goed;Goed;Matig;Ontoereikend;Slecht;Referentie goed;Referentie slecht;Bijzondere Omstandigheid
AANTFTE;Aantalfractie;;;;%;NVT;OW;R5;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;R6;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;R7;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;R12;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;R13;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;R14;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;R15;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;R16;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;R17;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;R18;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M1a;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M1b;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M2;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M3;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M4;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M6a;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M6b;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M7a;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M7b;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M8;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M10;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M12;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M14;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M20;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M23;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M27;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M30;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M31;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M5;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M11;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M13;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M16;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M17;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M18;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M22;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M25;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;M26;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;R1;;BER;2000-01-01;;;;;;;;;SRTPERCind
AANTFTE;Aantalfractie;;;;%;NVT;OW;R2;;BER;2000-01-01;;;;;;;;;SRTPERCind
