Grootheid.code;Grootheid.omschrijving;Parameter.code;Parameter.omschrijving;CAS-nummer;Eenheid.code;Hoedanigheid.code;Compartiment.code;KRWwatertype.code;GeoObject.identificatie;Waardebewerkingmethode.code;Begindatum;Einddatum;Zeer goed;Goed;Matig;Ontoereikend;Slecht;Referentie goed;Referentie slecht;Bijzondere Omstandigheid
AANWZHD;Aanwezigheid;KWD_VGTTE;Kweldervegetatie(zone);NVT;DIMSLS;NVT;OW;K2;;BER;2000-01-01;;>=4.50 EN <=100;>=3.5 EN <4.5;>=2.5 EN <3.5;>=1.5 EN <2.5;>=0 EN <1.5;>=5.0;;KWDpunt-kveg
AANWZHD;Aanwezigheid;MACFT;Macrofyten;NVT;DIMSLS;NVT;OW;R19;;BER;2000-01-01;;>=106 EN <=10000;>=79 EN <110;>=53 EN <79;>=26 EN <53;>=0 EN <26;>=130;;MFT_STmoeras
AANWZHD;Aanwezigheid;MACFT;Macrofyten;NVT;DIMSLS;NVT;OW;R20;;BER;2000-01-01;;>=106 EN <=10000;>=79 EN <110;>=53 EN <79;>=26 EN <53;>=0 EN <26;>=130;;MFT_STmoeras
AANWZHD;Aanwezigheid;KWD_VGTTE;Kweldervegetatie(zone);NVT;DIMSLS;NVT;OW;O2a;;BER;2000-01-01;;>=4.50 EN <=100;>=3.5 EN <4.5;>=2.5 EN <3.5;>=1.5 EN <2.5;>=0 EN <1.5;>=5.0;;KWDpunt-kveg
AANWZHD;Aanwezigheid;KWD_VGTTE;Kweldervegetatie(zone);NVT;DIMSLS;NVT;OW;O2b;;BER;2000-01-01;;>=4.50 EN <=100;>=3.5 EN <4.5;>=2.5 EN <3.5;>=1.5 EN <2.5;>=0 EN <1.5;>=5.0;;KWDpunt-kveg
BEDKG;Bedekking;sSUBMSDBPTN;som submerse en drijfbladplanten;NVT;%;NVT;OW;R5;;BER;2000-01-01;;>=20 EN <=30 OF >30 EN <=45;>45 EN <=60 OF >=5.0 EN <20;>60 EN <=80 OF >=1 EN <5;>80.0 EN <=100 OF >=0 EN <1;;=30;;MFT_comp_grv
BEDKG;Bedekking;EMSPTN;Emerse planten;NVT;%;NVT;EZ;R5;;BER;2000-01-01;;>=5.0 EN <=10 OF >10 EN <=20;>20 EN <=30 OF >=3 EN <5;>30 EN <=50 OF >=1 EN <3;>50 EN <=75 OF >=0 EN <1;;=10;;MFT_comp_grv
BEDKG;Bedekking;FLAB;Flab (Floating Algae Beds);NVT;%;NVT;EZ;R5;;BER;2000-01-01;;>=0 EN <=3;>3.0 EN <=10;>10 EN <=30;>30 EN <=50;>50.0 EN <=100;<=1;;MFT_comp_grv
BEDKG;Bedekking;KROOS;Kroos;NVT;%;NVT;EZ;R5;;BER;2000-01-01;;>=0 EN <=3;>3.0 EN <=10;>10 EN <=30;>30 EN <=50;>50.0 EN <=100;<=1;;MFT_comp_grv
BEDKG;Bedekking;sSUBMSPTDAGN;som submerse planten en draadalgen;NVT;%;NVT;OW;R6;;BER;2000-01-01;;>=20 EN <=30 OF >30 EN <=45;>45 EN <=60 OF >=5.0 EN <20;>60 EN <=80 OF >=1 EN <5;>80.0 EN <=100 OF >=0 EN <1;;=30;;MFT_comp_grv
BEDKG;Bedekking;GROTDBPTN;Grote drijfbladplanten;NVT;%;NVT;EZ;R6;;BER;2000-01-01;;>=20 EN <=25 OF >25 EN <=50;>50 EN <=90 OF >=10 EN <20;>90.0 EN <=100 OF >=5.0 EN <10;>=1 EN <5;>=0 EN <1;=25;;MFT_comp_grv
BEDKG;Bedekking;EMSPTN;Emerse planten;NVT;%;NVT;EZ;R6;;BER;2000-01-01;;>=10 EN <=20 OF >20 EN <=50;>50 EN <=75 OF >=5.0 EN <10;>=3 EN <5;>=1 EN <3;>=0 EN <1;=20;;MFT_comp_grv
BEDKG;Bedekking;FLAB;Flab (Floating Algae Beds);NVT;%;NVT;EZ;R6;;BER;2000-01-01;;>=0 EN <=5;>5.0 EN <=10;>10 EN <=40;>40 EN <=70;>70.0 EN <=100;<=2;;MFT_comp_grv
BEDKG;Bedekking;KROOS;Kroos;NVT;%;NVT;EZ;R6;;BER;2000-01-01;;>=0 EN <=5;>5.0 EN <=10;>10 EN <=40;>40 EN <=70;>70.0 EN <=100;<=2;;MFT_comp_grv
BEDKG;Bedekking;sSUBMSDBPTN;som submerse en drijfbladplanten;NVT;%;NVT;OW;R7;;BER;2000-01-01;;>=5.0 EN <=20 OF >20 EN <=40;>40 EN <=70 OF >=1 EN <5;>70.0 EN <=100 OF >=0.5 EN <1;>=0.1 EN <0.5;>=0 EN <0.1;=20;;MFT_comp_grv
