Grootheid.code;Grootheid.omschrijving;Parameter.code;Parameter.omschrijving;CAS-nummer;Eenheid.code;Hoedanigheid.code;Compartiment.code;KRWwatertype.code;GeoObject.identificatie;Waardebewerkingmethode.code;Begindatum;Einddatum;Zeer goed;Goed;Matig;Ontoereikend;Slecht;Referentie goed;Referentie slecht;Bijzondere Omstandigheid
AANTL;Aantal;VIS_groepRkl;Visgroep - soorten in kleine rivieren;NVT;n;NVT;OW;R5;;GEM;2000-01-01;;;;;;;;;
AANTL;Aantal;VIS_groepRkl;Visgroep - soorten in kleine rivieren;NVT;n;NVT;OW;R6;;GEM;2000-01-01;;;;;;;;;
AANTL;Aantal;VIS_groepRkl;Visgroep - soorten in kleine rivieren;NVT;n;NVT;OW;R12;;GEM;2000-01-01;;;;;;;;;
AANTL;Aantal;VIS_groepRkl;Visgroep - soorten in kleine rivieren;NVT;n;NVT;OW;R13;;GEM;2000-01-01;;;;;;;;;
AANTL;Aantal;VIS_groepRkl;Visgroep - soorten in kleine rivieren;NVT;n;NVT;OW;R14;;GEM;2000-01-01;;;;;;;;;
AANTL;Aantal;VIS_groepRkl;Visgroep - soorten in kleine rivieren;NVT;n;NVT;OW;R15;;GEM;2000-01-01;;;;;;;;;
AANTL;Aantal;VIS_groepRkl;Visgroep - soorten in kleine rivieren;NVT;n;NVT;OW;R17;;GEM;2000-01-01;;;;;;;;;
AANTL;Aantal;VIS_groepRkl;Visgroep - soorten in kleine rivieren;NVT;n;NVT;OW;R18;;GEM;2000-01-01;;;;;;;;;
AANTL;Aantal;VISSN;Vissen;NVT;n;NVT;OW;M12;;GEM;2000-01-01;;>=1 EN <=1000000000;;;;>=0 EN <=0;>=1;<=0;
AANTL;Aantal;VISSN;Vissen;NVT;n;NVT;OW;M26;;GEM;2000-01-01;;>=1 EN <=1000000000;;;;>=0 EN <=0;>=1.0;<=0;
AANTL;Aantal;VIS_groepRkl;Visgroep - soorten in kleine rivieren;NVT;n;NVT;OW;R4a;;GEM;2000-01-01;;;;;;;;;
AANTL;Aantal;VIS_groepRkl;Visgroep - soorten in kleine rivieren;NVT;n;NVT;OW;R19;;GEM;2000-01-01;;;;;;;;;
AANTL;Aantal;VIS_groepRkl;Visgroep - soorten in kleine rivieren;NVT;n;NVT;OW;R4b;;GEM;2000-01-01;;;;;;;;;
AANTL;Aantal;VIS_groepRkl;Visgroep - soorten in kleine rivieren;NVT;n;NVT;OW;R20;;GEM;2000-01-01;;;;;;;;;
AANTL;Aantal;VIS_OSMEEPER;Osmerus eperlanus;NVT;n;NVT;OW;O2a;;BER;2000-01-01;;>=4955 EN <=1000000000;>=2855 EN <4955;>=1542 EN <2855;>=777.0 EN <1542;>=0 EN <777;>=11285;<=0;VISabun_O2a
AANTL;Aantal;VIS_OSMEEPER;Osmerus eperlanus;NVT;n;NVT;OW;O2a;;BER;2000-01-01;;>=2096 EN <=1000000000;>=1696 EN <2096;>=1079 EN <1696;>=580.0 EN <1079;>=0 EN <580;>=5900;<=0;VISabun_O2a
AANTL;Aantal;VIS_OSMEEPER;Osmerus eperlanus;NVT;n;NVT;OW;O2a;;BER;2000-01-01;;>=440 EN <=1000000000;>=313 EN <440;>=226 EN <313;>=104 EN <226;>=0 EN <104;>=1145;<=0;VISabun_O2a
AANTL;Aantal;VIS_ALOSFALL;Alosa fallax;NVT;n;NVT;OW;O2a;;BER;2000-01-01;;>=330 EN <=1000000000;>=131 EN <330;>=64.0 EN <131;>=45 EN <64;>=0 EN <45;>=2500;<=0;VISabun_O2a
AANTL;Aantal;VIS_ALOSFALL;Alosa fallax;NVT;n;NVT;OW;O2a;;BER;2000-01-01;;>=52 EN <=1000000000;>=30 EN <52;>=15 EN <30;>=5.0 EN <15;>=0 EN <5;>=110;<=0;VISabun_O2a
AANTL;Aantal;VIS_ALOSFALL;Alosa fallax;NVT;n;NVT;OW;O2a;;BER;2000-01-01;;>=44 EN <=1000000000;>=25 EN <44;>=10 EN <25;>=6.0 EN <10;>=0 EN <6;>=81;<=0;VISabun_O2a
AANTL;Aantal;VIS_CLUPHARE;Clupea harengus;NVT;n;NVT;OW;O2a;;BER;2000-01-01;;>=1120 EN <=1000000000;>=480.0 EN <1120;>=190 EN <480;>=100 EN <190;>=0 EN <100;>=2000;<=0;VISabun_O2a
AANTL;Aantal;VIS_PLAIFLES;Platichthys flesus;NVT;n;NVT;OW;O2a;;BER;2000-01-01;;>=57 EN <=1000000000;>=33 EN <57;>=20 EN <33;>=15 EN <20;>=0 EN <15;>=121;<=0;VISabun_O2a
AANTL;Aantal;VIS_LIPALIPA;Liparis liparis;NVT;n;NVT;OW;O2a;;BER;2000-01-01;;>=1250 EN <=1000000000;>=240.0 EN <1250;>=40.0 EN <240;>=4.0 EN <40;>=0 EN <4;>=2100;<=0;VISabun_O2a
AANTL;Aantal;VIS_GYMOCERU;Gymnocephalus cernua;NVT;n;NVT;OW;O2a;;BER;2000-01-01;;>=225 EN <=1000000000;>=75.0 EN <225;>=38 EN <75;>=18 EN <38;>=0 EN <18;>=675;<=0;VISabun_O2a
AANTPOPVTE;Aantal per oppervlakte;VIS_OSMEEPER;Osmerus eperlanus;NVT;n/ha;NVT;OW;O2b;;GEM;2000-01-01;;>=54.0 EN <=1000000000;>=20 EN <54;>=7.0 EN <20;>=2.7 EN <7.0;>=0 EN <2.7;>=148;<=0;VISaantpoO2b
AANTPOPVTE;Aantal per oppervlakte;VIS_ALOSFALL;Alosa fallax;NVT;n/ha;NVT;OW;O2b;;GEM;2000-01-01;;>=14.0 EN <=1000000000;>=5.0 EN <14;>=2.0 EN <5.0;>=0.70 EN <2.0;>=0 EN <0.70;>=37;<=0;VISaantpoO2b
AANTPOPVTE;Aantal per oppervlakte;VIS_PLEUPLAT;Pleuronectes platessa;NVT;n/ha;NVT;OW;O2b;;GEM;2000-01-01;;>=95.0 EN <=1000000000;>=35 EN <95;>=13 EN <35;>=4.7 EN <13;>=0 EN <4.7;>=259;<=0;VISaantpoO2b
AANTPOPVTE;Aantal per oppervlakte;VIS_PLAIFLES;Platichthys flesus;NVT;n/ha;NVT;OW;O2b;;GEM;2000-01-01;;>=217 EN <=1000000000;>=80.0 EN <217;>=29 EN <80;>=10.8 EN <29.0;>=0 EN <10.8;>=591;<=0;VISaantpoO2b
AANTPOPVTE;Aantal per oppervlakte;VIS_LIPALIPA;Liparis liparis;NVT;n/ha;NVT;OW;O2b;;GEM;2000-01-01;;>=27.0 EN <=1000000000;>=10 EN <27;>=4.0 EN <10;>=1.4 EN <4.0;>=0 EN <1.4;>=70;<=0;VISaantpoO2b
AANTPOPVTE;Aantal per oppervlakte;VIS_GYMOCERU;Gymnocephalus cernua;NVT;n/ha;NVT;OW;O2b;;GEM;2000-01-01;;>=82.0 EN <=1000000000;>=30 EN <82;>=11 EN <30;>=4.1 EN <11;>=0 EN <4.1;>=222;<=0;VISaantpoO2b
AANTPOPVTE;Aantal per oppervlakte;VIS_MERNMERL;Merlangius merlangus;NVT;n/ha;NVT;OW;O2b;;GEM;2000-01-01;;>=217 EN <=1000000000;>=80.0 EN <217;>=29 EN <80;>=10.8 EN <29.0;>=0 EN <10.8;>=591;<=0;VISaantpoO2b
MASSFTE;Massafractie;VIS_groepBK;Visgroep - brasem en karper (BK);NVT;%;NVT;OW;M1a;;BER;2000-01-01;;>=0 EN <=18;>18 EN <=25;>25 EN <=50;>50 EN <=75;>75.0 EN <100;<=10;>=100;VISrelMs
MASSFTE;Massafractie;VIS_gildePm;Visgilde - plantminnende soort (Pm);NVT;%;NVT;OW;M1a;;BER;2000-01-01;;>=65.0 EN <=100;>=50 EN <65;>=25 EN <50;>=10 EN <25;>=0 EN <10;>=80;<=0;VISrelMs
MASSFTE;Massafractie;VIS_groepBK;Visgroep - brasem en karper (BK);NVT;%;NVT;OW;M1b;;BER;2000-01-01;;>=0 EN <=18;>18 EN <=25;>25 EN <=50;>50 EN <=75;>75.0 EN <=100;<=10;>=100;VISrelMs
MASSFTE;Massafractie;VIS_gildePm;Visgilde - plantminnende soort (Pm);NVT;%;NVT;OW;M1b;;BER;2000-01-01;;>=65.0 EN <=100;>=50 EN <65;>=25 EN <50;>=10 EN <25;>=0 EN <10;>=80;<=0;VISrelMs
MASSFTE;Massafractie;VIS_groepBK;Visgroep - brasem en karper (BK);NVT;%;NVT;OW;M3;;BER;2000-01-01;;>=0 EN <=38;>38 EN <=45;>45 EN <=65;>65 EN <=85;>85.0 EN <=100;<=30;>=100;VISrelMs
MASSFTE;Massafractie;VIS_gildePm;Visgilde - plantminnende soort (Pm);NVT;%;NVT;OW;M3;;BER;2000-01-01;;>=37.5 EN <=100;>=30 EN <38;>=15 EN <30;>=5.0 EN <15;>=0 EN <5;>=45;<=0;VISrelMs
MASSFTE;Massafractie;VIS_groepBK;Visgroep - brasem en karper (BK);NVT;%;NVT;OW;M4;;BER;2000-01-01;;>=0 EN <=38;>38 EN <=45;>45 EN <=65;>65 EN <=85;>85.0 EN <=100;<=30;>=100;VISrelMs
MASSFTE;Massafractie;VIS_gildePm;Visgilde - plantminnende soort (Pm);NVT;%;NVT;OW;M4;;BER;2000-01-01;;>=37.5 EN <=100;>=30 EN <38;>=15 EN <30;>=5.0 EN <15;>=0 EN <5;>=45;>=0;VISrelMs
MASSFTE;Massafractie;VIS_groepBK;Visgroep - brasem en karper (BK);NVT;%;NVT;OW;M6a;;BER;2000-01-01;;>=0 EN <=38;>38 EN <=45;>45 EN <=65;>65 EN <=85;>85.0 EN <=100;<=30;>=100;VISrelMs
MASSFTE;Massafractie;VIS_gildePm;Visgilde - plantminnende soort (Pm);NVT;%;NVT;OW;M6a;;BER;2000-01-01;;>=37.5 EN <=100;>=30 EN <38;>=15 EN <30;>=5.0 EN <15;>=0 EN <5;>=45;<=0;VISrelMs
MASSFTE;Massafractie;VIS_groepBK;Visgroep - brasem en karper (BK);NVT;%;NVT;OW;M6b;;BER;2000-01-01;;>=0 EN <=57;>57 EN <=65;>65 EN <=80;>80 EN <=90;>90.0 EN <=100;<=50;>=100;VISrelMs
MASSFTE;Massafractie;VIS_gildePm;Visgilde - plantminnende soort (Pm);NVT;%;NVT;OW;M6b;;BER;2000-01-01;;>=7.50 EN <=100;>=5.0 EN <7.5;>=2 EN <5;>=1 EN <2;>=0 EN <1;>=10;<=0;VISrelMs
MASSFTE;Massafractie;VIS_groepBK;Visgroep - brasem en karper (BK);NVT;%;NVT;OW;M7a;;BER;2000-01-01;;>=0 EN <=38;>38 EN <=45;>45 EN <=65;>65 EN <=85;>85.0 EN <=100;<=30;>=100;VISrelMs
MASSFTE;Massafractie;VIS_gildePm;Visgilde - plantminnende soort (Pm);NVT;%;NVT;OW;M7a;;BER;2000-01-01;;>=37.5 EN <=100;>=30 EN <38;>=15 EN <30;>=5.0 EN <15;>=0 EN <5;>=45;<=0;VISrelMs
MASSFTE;Massafractie;VIS_groepBK;Visgroep - brasem en karper (BK);NVT;%;NVT;OW;M7b;;BER;2000-01-01;;>=0 EN <=57;>57 EN <=65;>65 EN <=80;>80 EN <=90;>90.0 EN <=100;<=50;>=100;VISrelMs
MASSFTE;Massafractie;VIS_gildePm;Visgilde - plantminnende soort (Pm);NVT;%;NVT;OW;M7b;;BER;2000-01-01;;>=7.50 EN <=100;>=5.0 EN <7.5;>=2 EN <5;>=1 EN <2;>=0 EN <1;>=10;<=0;VISrelMs
MASSFTE;Massafractie;VIS_groepBK;Visgroep - brasem en karper (BK);NVT;%;NVT;OW;M8;;BER;2000-01-01;;>=0 EN <=18;>18 EN <=25;>25 EN <=50;>50 EN <=75;>75.0 EN <=100;<=10;>=100;VISrelMs
MASSFTE;Massafractie;VIS_gildePm;Visgilde - plantminnende soort (Pm);NVT;%;NVT;OW;M8;;BER;2000-01-01;;>=65.0 EN <=100;>=50 EN <65;>=25 EN <50;>=10 EN <25;>=0 EN <10;>=80;<=0;VISrelMs
MASSFTE;Massafractie;VIS_groepBK;Visgroep - brasem en karper (BK);NVT;%;NVT;OW;M10;;BER;2000-01-01;;>=0 EN <=18;>18 EN <=25;>25 EN <=50;>50 EN <=75;>75.0 EN <=100;<=10;>=100;VISrelMs
MASSFTE;Massafractie;VIS_gildePm;Visgilde - plantminnende soort (Pm);NVT;%;NVT;OW;M10;;BER;2000-01-01;;>=65.0 EN <=100;>=50 EN <65;>=25 EN <50;>=10 EN <25;>=0 EN <10;>=80;<=0;VISrelMs
MASSFTE;Massafractie;VIS_gildeEx;Visgilde - exote soort (Ex);NVT;%;NVT;OW;M12;;BER;2000-01-01;;>=0 EN <=0;>0 EN <=1;>1.0 EN <=10;>10 EN <=50;>50.0 EN <=100;<=0;>=100;VISrelMs
MASSFTE;Massafractie;VIS_groepBK;Visgroep - brasem en karper (BK);NVT;%;NVT;OW;M14;;BER;2000-01-01;;>=0 EN <=20;>20 EN <=40;>40 EN <=60;>60 EN <=85;>85.0 EN <=100;<=5;>=100;VISrelMs
MASSFTE;Massafractie;VIS_groepBB;Visgroep - baars en blankvoorn (BB);NVT;%;NVT;OW;M14;;BER;2000-01-01;;>=45.0 EN <=100;>=30 EN <45;>=15 EN <30;>=5.0 EN <15;>=0 EN <5.0;>=60;<=0;VISrelMs_EU
MASSFTE;Massafractie;VIS_gildePm;Visgilde - plantminnende soort (Pm);NVT;%;NVT;OW;M14;;BER;2000-01-01;;>=65.0 EN <=100;>=40 EN <65;>=20 EN <40;>=8.0 EN <20;>=0 EN <8;>=80;<=0;VISrelMs
MASSFTE;Massafractie;VIS_gildeO2;Visgilde - zuurstoftolerante soort (O2);NVT;%;NVT;OW;M14;;BER;2000-01-01;;>=20.0 EN <=100;>=10 EN <20;>=3.0 EN <10;>=1 EN <3;>=0 EN <1;>=30;<=0;VISrelMs
MASSFTE;Massafractie;VIS_groepBK;Visgroep - brasem en karper (BK);NVT;%;NVT;OW;M20;;BER;2000-01-01;;>=0 EN <=20;>20 EN <=40;>40 EN <=60;>60 EN <=85;>85.0 EN <=100;<=5;>=100;VISrelMs
MASSFTE;Massafractie;VIS_groepBB;Visgroep - baars en blankvoorn (BB);NVT;%;NVT;OW;M20;;BER;2000-01-01;;>=45.0 EN <=100;>=30 EN <45;>=15 EN <30;>=5.0 EN <15;>=0 EN <5.0;>=60;<=0;VISrelMs_EU
MASSFTE;Massafractie;VIS_gildePm;Visgilde - plantminnende soort (Pm);NVT;%;NVT;OW;M20;;BER;2000-01-01;;>=15.0 EN <=100;>=10 EN <15;>=5.0 EN <10;>=2 EN <5;>=0 EN <2;>=25;<=0;VISrelMs
MASSFTE;Massafractie;VIS_gildeO2;Visgilde - zuurstoftolerante soort (O2);NVT;%;NVT;OW;M20;;BER;2000-01-01;;>=3.00 EN <=100;>=2 EN <3;>=1 EN <2;>=0.5 EN <1;>=0 EN <0.5;>=5;<=0;VISrelMs
MASSFTE;Massafractie;VIS_groepBK;Visgroep - brasem en karper (BK);NVT;%;NVT;OW;M23;;BER;2000-01-01;;>=0 EN <=20;>20 EN <=40;>40 EN <=60;>60 EN <=85;>85.0 EN <=100;<=5;>=100;VISrelMs
MASSFTE;Massafractie;VIS_groepBB;Visgroep - baars en blankvoorn (BB);NVT;%;NVT;OW;M23;;BER;2000-01-01;;>=45.0 EN <=100;>=30 EN <45;>=15 EN <30;>=5.0 EN <15;>=0 EN <5.0;>=60;<=0;VISrelMs_EU
MASSFTE;Massafractie;VIS_gildePm;Visgilde - plantminnende soort (Pm);NVT;%;NVT;OW;M23;;BER;2000-01-01;;>=15.0 EN <=100;>=10 EN <15;>=5.0 EN <10;>=2 EN <5;>=0 EN <2;>=25;<=0;VISrelMs
MASSFTE;Massafractie;VIS_gildeO2;Visgilde - zuurstoftolerante soort (O2);NVT;%;NVT;OW;M23;;BER;2000-01-01;;>=3.00 EN <=100;>=2 EN <3;>=1 EN <2;>=0.5 EN <1;>=0 EN <0.5;>=5;<=0;VISrelMs
MASSFTE;Massafractie;VIS_groepBK;Visgroep - brasem en karper (BK);NVT;%;NVT;OW;M27;;BER;2000-01-01;;>=0 EN <=20;>20 EN <=40;>40 EN <=60;>60 EN <=85;>85.0 EN <=100;<=5;>=100;VISrelMs
MASSFTE;Massafractie;VIS_groepBB;Visgroep - baars en blankvoorn (BB);NVT;%;NVT;OW;M27;;BER;2000-01-01;;>=45.0 EN <=100;>=30 EN <45;>=15 EN <30;>=5.0 EN <15;>=0 EN <5.0;>=60;<=0;VISrelMs_EU
MASSFTE;Massafractie;VIS_gildePm;Visgilde - plantminnende soort (Pm);NVT;%;NVT;OW;M27;;BER;2000-01-01;;>=65.0 EN <=100;>=40 EN <65;>=20 EN <40;>=8.0 EN <20;>=0 EN <8;>=80;<=0;VISrelMs
MASSFTE;Massafractie;VIS_gildeO2;Visgilde - zuurstoftolerante soort (O2);NVT;%;NVT;OW;M27;;BER;2000-01-01;;>=20 EN <=100;>=10 EN <20;>=3.0 EN <10;>=1 EN <3;>=0 EN <1;>=30;<=0;VISrelMs
MASSFTE;Massafractie;VIS_gildeCA;Visgilde - diadrome soort zoute wateren (CA);NVT;%;NVT;OW;M30;;BER;2000-01-01;;>=8.00 EN <=100;>=6 EN <8;>=4 EN <6;>=2 EN <4;>=0 EN <2;>=10;<=0;VISrelMs
MASSFTE;Massafractie;VIS_gildeER;Visgilde - estuarien residente soort (ER);NVT;%;NVT;OW;M30;;BER;2000-01-01;;>=4.00 EN <=100;>=3 EN <4;>=2 EN <3;>=1 EN <2;>=0 EN <1;>=5;<=0;VISrelMs
