Grootheid.code;Grootheid.omschrijving;Parameter.code;Parameter.omschrijving;CAS-nummer;Eenheid.code;Hoedanigheid.code;Compartiment.code;Waardebewerkingmethode.code;Begindatum;Einddatum;Factor-A;Factor-B;Factor-C;Humuspercentage-laag;Humuspercentage-hoog;Voldoet;Voldoet niet;Bijzondere Omstandigheid
CONCTTE;(massa)Concentratie;C2yazfs;ethylazinfos;2642-71-9;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.0011;>0.0011;
CONCTTE;(massa)Concentratie;C1yazfs;methylazinfos;86-50-0;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.0065;>0.0065;
CONCTTE;(massa)Concentratie;ClHAc;chloorazijnzuur;79-11-8;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.58;>0.58;
CONCTTE;(massa)Concentratie;2ClAn;2-chlooraniline;95-51-2;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.2;>0.2;
CONCTTE;(massa)Concentratie;3ClAn;3-chlooraniline;108-42-9;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.41;>0.41;
CONCTTE;(massa)Concentratie;4ClAn;4-chlooraniline;106-47-8;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.22;>0.22;
CONCTTE;(massa)Concentratie;4Cl3C1yFol;4-chloor-3-methylfenol;59-50-7;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=6.4;>6.4;
CONCTTE;(massa)Concentratie;2ClFol;2-chloorfenol;95-57-8;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=35;>35;
CONCTTE;(massa)Concentratie;3ClFol;3-chloorfenol;108-43-0;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=4;>4;
CONCTTE;(massa)Concentratie;4ClFol;4-chloorfenol;106-48-9;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=16;>16;
CONCTTE;(massa)Concentratie;Clpn;chloropreen;126-99-8;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=19;>19;
CONCTTE;(massa)Concentratie;3ClC3e;3-chloorpropeen;107-05-1;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.34;>0.34;
CONCTTE;(massa)Concentratie;cumfs;cumafos;56-72-4;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.0034;>0.0034;
CONCTTE;(massa)Concentratie;12DBrC2a;1,2-dibroomethaan;106-93-4;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.0033;>0.0033;
CONCTTE;(massa)Concentratie;DC4ySn;dibutyltin (kation);14488-53-0;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.09;>0.09;
CONCTTE;(massa)Concentratie;33DClbzdne;3,3'-dichloorbenzidine;91-94-1;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.0000052;>0.0000052;
CONCTTE;(massa)Concentratie;11DClC2e;1,1-dichlooretheen;75-35-4;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=9;>9;
CONCTTE;(massa)Concentratie;12DClC2e;1,2-dichlooretheen;540-59-0;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=6.8;>6.8;
CONCTTE;(massa)Concentratie;24DClFol;2,4-dichloorfenol;120-83-2;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.54;>0.54;
CONCTTE;(massa)Concentratie;12DClC3a;1,2-dichloorpropaan;78-87-5;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=280;>280;
CONCTTE;(massa)Concentratie;13DClC3e;1,3-dichloorpropeen;542-75-6;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.18;>0.18;
CONCTTE;(massa)Concentratie;DClppP;dichloorprop-P;15165-67-0;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=1.0;>1.0;
CONCTTE;(massa)Concentratie;DClvs;dichloorvos;62-73-7;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.0006;>0.0006;
CONCTTE;(massa)Concentratie;Dmtat;dimethoaat;60-51-5;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.07;>0.07;
CONCTTE;(massa)Concentratie;epClhdne;epichloorhydrine;106-89-8;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.65;>0.65;
CONCTTE;(massa)Concentratie;HxClC2a;hexachloorethaan;67-72-1;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.67;>0.67;
CONCTTE;(massa)Concentratie;MCPA;2-methyl-4-chloorfenoxyazijnzuur;94-74-6;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=1.4;>1.4;
CONCTTE;(massa)Concentratie;MCPP;mecoprop;93-65-2;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=18;>18;
CONCTTE;(massa)Concentratie;mevfs;mevinfos;7786-34-7;ug/l;NVT;OW;JGM;2000-01-01;;;;;;;<=0.00017;>0.00017;
