Grootheid.code;Grootheid.omschrijving;Parameter.code;Parameter.omschrijving;CAS-nummer;Eenheid.code;Hoedanigheid.code;Compartiment.code;KRWwatertype.code;AchtergrondWaarde;Waardebewerkingmethode.code;Begindatum;Einddatum;Voldoet;Voldoet niet;Bijzondere Omstandigheid
CONCTTE;(massa)Concentratie;Dcfl;dicofol;115-32-2;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.0013;>0.0013;
CONCTTE;(massa)Concentratie;slinvertPFOS;som lineair en vertakte perfluoroctylsulfonaat;NVT;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.00065;>0.00065;
CONCTTE;(massa)Concentratie;quinoxfn;quinoxyfen;124495-18-7;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.15;>0.15;
CONCTTE;(massa)Concentratie;acnfn;aclonifen;74070-46-5;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.12;>0.12;
CONCTTE;(massa)Concentratie;bfnx;bifenox;42576-02-3;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.012;>0.012;
CONCTTE;(massa)Concentratie;irgrl;irgarol;28159-98-0;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.0025;>0.0025;
CONCTTE;(massa)Concentratie;cypmtn;cypermethrin;52315-07-8;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.00008;>0.00008;
CONCTTE;(massa)Concentratie;DClvs;dichloorvos;62-73-7;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.0006;>0.0006;
CONCTTE;(massa)Concentratie;sabcHBCD;som a-, b- en c-HBCD;NVT;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.0016;>0.0016;
CONCTTE;(massa)Concentratie;sHpCl1;som heptachloor en cis-heptachloorepoxide;NVT;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.0000002;>0.0000002;
CONCTTE;(massa)Concentratie;terbtn;terbutrin;886-50-0;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.065;>0.065;
CONCTTE;(massa)Concentratie;Ant;antraceen;120-12-7;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.1;>0.1;
CONCTTE;(massa)Concentratie;Flu;fluorantheen;206-44-0;ug/l;NVT;OW;;;JGM;2002-11-02;;<=0.0063;>0.0063;
CONCTTE;(massa)Concentratie;Pb;lood;7439-92-1;ug/l;nf;OW;;;JGM;2002-11-02;;<=1.2;>1.2;
CONCTTE;(massa)Concentratie;Pb;lood;7439-92-1;ug/l;nf;OW;;;JGM;2002-11-02;;<=1;>1;BLM
CONCTTE;(massa)Concentratie;Pb;lood;7439-92-1;ug/l;nf;OW;M30;;JGM;2002-11-02;;<=1.20;>1.20;AC-SALNTT
CONCTTE;(massa)Concentratie;Pb;lood;7439-92-1;ug/l;nf;OW;M31;;JGM;2002-11-02;;<=1.20;>1.20;AC-SALNTT
CONCTTE;(massa)Concentratie;Naf;naftaleen;91-20-3;ug/l;NVT;OW;;;JGM;2002-11-02;;<=2;>2;
CONCTTE;(massa)Concentratie;Ni;nikkel;7440-02-0;ug/l;nf;OW;;;JGM;2002-11-02;;<=4.0;>4.0;
CONCTTE;(massa)Concentratie;Ni;nikkel;7440-02-0;ug/l;nf;OW;;;JGM;2002-11-02;;<=1;>1;BLM
