Watertype;Groeivorm;Klasse;Ondergrens;Bovengrens
M1a;Submerse vegetatie;MEP;65;65
M1a;Submerse vegetatie;GEP;30;90
M1a;Submerse vegetatie;Matig;10;30
M1a;Submerse vegetatie;Matig;90;95
M1a;Submerse vegetatie;Ontoereikend;95;100
M1a;Submerse vegetatie;Ontoereikend;5;10
M1a;Submerse vegetatie;Slecht;0;5
M1a;Drijvende vegetatie;MEP;20;20
M1a;Drijvende vegetatie;GEP;10;30
M1a;Drijvende vegetatie;Matig;5;10
M1a;Drijvende vegetatie;Matig;30;40
M1a;Drijvende vegetatie;Ontoereikend;40;100
M1a;Drijvende vegetatie;Ontoereikend;1;5
M1a;Drijvende vegetatie;Slecht;0;1
M1a;Emerse vegetatie;MEP;10;10
M1a;Emerse vegetatie;GEP;5;30
M1a;Emerse vegetatie;Matig;1;5
M1a;Emerse vegetatie;Matig;30;50
M1a;Emerse vegetatie;Ontoereikend;50;75
M1a;Emerse vegetatie;Slecht;0;1
M1a;Emerse vegetatie;Slecht;75;100
M1a;Flab en Kroos;GEP;0;15
M1a;Flab en Kroos;Matig;15;30
M1a;Flab en Kroos;Ontoereikend;30;60
M1a;Flab en Kroos;Slecht;60;100
M1b;Submerse vegetatie;MEP;65;65
M1b;Submerse vegetatie;GEP;30;90
M1b;Submerse vegetatie;Matig;10;30
M1b;Submerse vegetatie;Matig;90;95
M1b;Submerse vegetatie;Ontoereikend;95;100
M1b;Submerse vegetatie;Ontoereikend;5;10
M1b;Submerse vegetatie;Slecht;0;5
M1b;Drijvende vegetatie;MEP;20;20
M1b;Drijvende vegetatie;GEP;10;30
M1b;Drijvende vegetatie;Matig;5;10
M1b;Drijvende vegetatie;Matig;30;40
M1b;Drijvende vegetatie;Ontoereikend;40;100
M1b;Drijvende vegetatie;Ontoereikend;1;5
M1b;Drijvende vegetatie;Slecht;0;1
M1b;Emerse vegetatie;MEP;10;10
M1b;Emerse vegetatie;GEP;5;30
M1b;Emerse vegetatie;Matig;1;5
M1b;Emerse vegetatie;Matig;30;50
M1b;Emerse vegetatie;Ontoereikend;50;75
M1b;Emerse vegetatie;Slecht;0;1
M1b;Emerse vegetatie;Slecht;75;100
M1b;Flab en Kroos;GEP;0;15
M1b;Flab en Kroos;Matig;15;30
M1b;Flab en Kroos;Ontoereikend;30;60
M1b;Flab en Kroos;Slecht;60;100
M3;Submerse vegetatie;MEP;65;65
M3;Submerse vegetatie;GEP;30;90
M3;Submerse vegetatie;Matig;10;30
M3;Submerse vegetatie;Matig;90;95
M3;Submerse vegetatie;Ontoereikend;5;10
M3;Submerse vegetatie;Ontoereikend;95;100
M3;Submerse vegetatie;Slecht;0;5
M3;Drijvende vegetatie;MEP;40;40
M3;Drijvende vegetatie;GEP;20;60
M3;Drijvende vegetatie;Matig;10;20
M3;Drijvende vegetatie;Matig;60;80
M3;Drijvende vegetatie;Ontoereikend;5;10
M3;Drijvende vegetatie;Ontoereikend;80;100
