"ID_classificatie","bron","klasse","ondergrens","bovengrens","incl_onder","incl_boven"
"100000001","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",300,Inf,"nee","nee"
"100000001","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",-Inf,150,"nee","ja"
"100000001","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",-Inf,150,"nee","ja"
"100000001","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",-Inf,200,"nee","ja"
"100000001","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",-Inf,300,"nee","ja"
"100000002","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",150,1000,"ja","ja"
"100000002","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",150,1000,"ja","ja"
"100000002","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",50,100,"ja","ja"
"100000002","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",100,150,"ja","ja"
"100000002","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",1000,NA,"nee","nee"
"100000002","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",-Inf,50,"nee","nee"
"100000003","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",300,Inf,"nee","nee"
"100000003","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",-Inf,20,"nee","ja"
"100000003","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",-Inf,150,"nee","ja"
"100000003","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",-Inf,200,"nee","ja"
"100000003","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",-Inf,300,"nee","ja"
"100000004","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",400,Inf,"nee","nee"
"100000004","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",-Inf,300,"nee","ja"
"100000004","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",-Inf,300,"nee","ja"
"100000004","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",-Inf,350,"nee","ja"
"100000004","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",-Inf,400,"nee","ja"
"100000005","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",300,Inf,"nee","nee"
"100000005","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",-Inf,20,"nee","ja"
"100000005","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",-Inf,150,"nee","ja"
"100000005","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",-Inf,200,"nee","ja"
"100000005","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",-Inf,300,"nee","ja"
"100000006","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",300,Inf,"nee","nee"
"100000006","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",-Inf,200,"nee","ja"
"100000006","KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",-Inf,200,"nee","ja"
