"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","KRWwatertype.code","Waardebewerkingmethode.code","Begindatum","Einddatum","Bijzondere.Omstandigheid"
100000001,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M1a","ZGM","2000-01-01",NA,""
100000002,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M1b","ZGM","2000-01-01",NA,""
100000003,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M2","ZGM","2000-01-01",NA,""
100000004,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M3","ZGM","2000-01-01",NA,""
100000005,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M4","ZGM","2000-01-01",NA,""
100000006,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M5","ZGM","2000-01-01",NA,""
100000007,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M6a","ZGM","2000-01-01",NA,""
100000008,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M6b","ZGM","2000-01-01",NA,""
100000009,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M7a","ZGM","2000-01-01",NA,""
100000010,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M7b","ZGM","2000-01-01",NA,""
100000011,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M8","ZGM","2000-01-01",NA,""
100000012,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M9","ZGM","2000-01-01",NA,""
100000013,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M10","ZGM","2000-01-01",NA,""
100000014,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M11","ZGM","2000-01-01",NA,""
100000015,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M12","ZGM","2000-01-01",NA,""
100000016,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M13","ZGM","2000-01-01",NA,""
100000017,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M14","ZGM","2000-01-01",NA,""
100000018,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M16","ZGM","2000-01-01",NA,""
100000019,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M17","ZGM","2000-01-01",NA,""
100000020,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M18","ZGM","2000-01-01",NA,""
100000021,"KRW fysisch-chemisch uit maatlatten 2018 (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cl","chloride","16887-00-6","mg/l","NVT","OW","M20","ZGM","2000-01-01",NA,""
