"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","KRWwatertype.code","GeoObject.identificatie","Waardebewerkingmethode.code","Begindatum","Einddatum","Bijzondere.Omstandigheid"
100100001,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei1","Fytopl. - bloeisoort (01-02) Planktothrix agardhii","NVT","n/ml","cel","OW","M3","","GEM","2000-01-01",NA,""
100100002,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei1","Fytopl. - bloeisoort (01-02) Planktothrix agardhii","NVT","n/ml","cel","OW","M4","","GEM","2000-01-01",NA,""
100100003,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei1","Fytopl. - bloeisoort (01-02) Planktothrix agardhii","NVT","n/ml","cel","OW","M6a","","GEM","2000-01-01",NA,""
100100004,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei1","Fytopl. - bloeisoort (01-02) Planktothrix agardhii","NVT","n/ml","cel","OW","M6b","","GEM","2000-01-01",NA,""
100100005,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei1","Fytopl. - bloeisoort (01-02) Planktothrix agardhii","NVT","n/ml","cel","OW","M7a","","GEM","2000-01-01",NA,""
100100006,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei1","Fytopl. - bloeisoort (01-02) Planktothrix agardhii","NVT","n/ml","cel","OW","M7b","","GEM","2000-01-01",NA,""
100100007,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei1","Fytopl. - bloeisoort (01-02) Planktothrix agardhii","NVT","n/ml","cel","OW","M10","","GEM","2000-01-01",NA,""
100100008,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei1","Fytopl. - bloeisoort (01-02) Planktothrix agardhii","NVT","n/ml","cel","OW","M12","","GEM","2000-01-01",NA,""
100100009,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei1","Fytopl. - bloeisoort (01-02) Planktothrix agardhii","NVT","n/ml","cel","OW","M14","","GEM","2000-01-01",NA,""
100100010,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei1","Fytopl. - bloeisoort (01-02) Planktothrix agardhii","NVT","n/ml","cel","OW","M20","","GEM","2000-01-01",NA,""
100100011,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei1","Fytopl. - bloeisoort (01-02) Planktothrix agardhii","NVT","n/ml","cel","OW","M23","","GEM","2000-01-01",NA,""
100100012,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei1","Fytopl. - bloeisoort (01-02) Planktothrix agardhii","NVT","n/ml","cel","OW","M27","","GEM","2000-01-01",NA,""
100100013,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei1","Fytopl. - bloeisoort (01-02) Planktothrix agardhii","NVT","n/ml","cel","OW","M30","","GEM","2000-01-01",NA,""
100100014,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei3","Fytopl. - bloeisoort (03) Planktothrix rubescens","NVT","n/ml","cel","OW","M3","","GEM","2000-01-01",NA,""
100100015,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei3","Fytopl. - bloeisoort (03) Planktothrix rubescens","NVT","n/ml","cel","OW","M4","","GEM","2000-01-01",NA,""
100100016,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei3","Fytopl. - bloeisoort (03) Planktothrix rubescens","NVT","n/ml","cel","OW","M6a","","GEM","2000-01-01",NA,""
