"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","KRWwatertype.code","GeoObject.identificatie","Waardebewerkingmethode.code","Begindatum","Einddatum","Bijzondere.Omstandigheid"
100300001,"KRW maatlatten 2018 - Overige Waterflora (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANWZHD","Aanwezigheid","KWD_VGTTE","Kweldervegetatie(zone)","NVT","DIMSLS","NVT","OW","K2","","BER","2000-01-01",NA,"KWDpunt-kveg"
100300002,"KRW maatlatten 2018 - Overige Waterflora (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANWZHD","Aanwezigheid","MACFT","Macrofyten","NVT","DIMSLS","NVT","OW","R19","","BER","2000-01-01",NA,"MFT_STmoeras"
100300003,"KRW maatlatten 2018 - Overige Waterflora (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANWZHD","Aanwezigheid","MACFT","Macrofyten","NVT","DIMSLS","NVT","OW","R20","","BER","2000-01-01",NA,"MFT_STmoeras"
100300004,"KRW maatlatten 2018 - Overige Waterflora (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANWZHD","Aanwezigheid","KWD_VGTTE","Kweldervegetatie(zone)","NVT","DIMSLS","NVT","OW","O2a","","BER","2000-01-01",NA,"KWDpunt-kveg"
100300005,"KRW maatlatten 2018 - Overige Waterflora (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANWZHD","Aanwezigheid","KWD_VGTTE","Kweldervegetatie(zone)","NVT","DIMSLS","NVT","OW","O2b","","BER","2000-01-01",NA,"KWDpunt-kveg"
100300006,"KRW maatlatten 2018 - Overige Waterflora (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","BEDKG","Bedekking","sSUBMSDBPTN","som submerse en drijfbladplanten","NVT","%","NVT","OW","R5","","BER","2000-01-01",NA,"MFT_comp_grv"
100300007,"KRW maatlatten 2018 - Overige Waterflora (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","BEDKG","Bedekking","EMSPTN","Emerse planten","NVT","%","NVT","EZ","R5","","BER","2000-01-01",NA,"MFT_comp_grv"
100300008,"KRW maatlatten 2018 - Overige Waterflora (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","BEDKG","Bedekking","FLAB","Flab (Floating Algae Beds)","NVT","%","NVT","EZ","R5","","BER","2000-01-01",NA,"MFT_comp_grv"
100300009,"KRW maatlatten 2018 - Overige Waterflora (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","BEDKG","Bedekking","KROOS","Kroos","NVT","%","NVT","EZ","R5","","BER","2000-01-01",NA,"MFT_comp_grv"
100300010,"KRW maatlatten 2018 - Overige Waterflora (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","BEDKG","Bedekking","sSUBMSPTDAGN","som submerse planten en draadalgen","NVT","%","NVT","OW","R6","","BER","2000-01-01",NA,"MFT_comp_grv"
100300011,"KRW maatlatten 2018 - Overige Waterflora (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","BEDKG","Bedekking","GROTDBPTN","Grote drijfbladplanten","NVT","%","NVT","EZ","R6","","BER","2000-01-01",NA,"MFT_comp_grv"
100300012,"KRW maatlatten 2018 - Overige Waterflora (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","BEDKG","Bedekking","EMSPTN","Emerse planten","NVT","%","NVT","EZ","R6","","BER","2000-01-01",NA,"MFT_comp_grv"
100300013,"KRW maatlatten 2018 - Overige Waterflora (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","BEDKG","Bedekking","FLAB","Flab (Floating Algae Beds)","NVT","%","NVT","EZ","R6","","BER","2000-01-01",NA,"MFT_comp_grv"
100300014,"KRW maatlatten 2018 - Overige Waterflora (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","BEDKG","Bedekking","KROOS","Kroos","NVT","%","NVT","EZ","R6","","BER","2000-01-01",NA,"MFT_comp_grv"
