"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","KRWwatertype.code","GeoObject.identificatie","Waardebewerkingmethode.code","Begindatum","Einddatum","Bijzondere.Omstandigheid"
100300001,"KRW maatlatten 2018 - Vis","AANTL","Aantal","VIS_groepRkl","Visgroep - soorten in kleine rivieren","NVT","n","NVT","OW","R5",NA,"GEM","2000-01-01",NA,""
100300002,"KRW maatlatten 2018 - Vis","AANTL","Aantal","VIS_groepRkl","Visgroep - soorten in kleine rivieren","NVT","n","NVT","OW","R6",NA,"GEM","2000-01-01",NA,""
100300003,"KRW maatlatten 2018 - Vis","AANTL","Aantal","VIS_groepRkl","Visgroep - soorten in kleine rivieren","NVT","n","NVT","OW","R12",NA,"GEM","2000-01-01",NA,""
100300004,"KRW maatlatten 2018 - Vis","AANTL","Aantal","VIS_groepRkl","Visgroep - soorten in kleine rivieren","NVT","n","NVT","OW","R13",NA,"GEM","2000-01-01",NA,""
100300005,"KRW maatlatten 2018 - Vis","AANTL","Aantal","VIS_groepRkl","Visgroep - soorten in kleine rivieren","NVT","n","NVT","OW","R14",NA,"GEM","2000-01-01",NA,""
100300006,"KRW maatlatten 2018 - Vis","AANTL","Aantal","VIS_groepRkl","Visgroep - soorten in kleine rivieren","NVT","n","NVT","OW","R15",NA,"GEM","2000-01-01",NA,""
100300007,"KRW maatlatten 2018 - Vis","AANTL","Aantal","VIS_groepRkl","Visgroep - soorten in kleine rivieren","NVT","n","NVT","OW","R17",NA,"GEM","2000-01-01",NA,""
100300008,"KRW maatlatten 2018 - Vis","AANTL","Aantal","VIS_groepRkl","Visgroep - soorten in kleine rivieren","NVT","n","NVT","OW","R18",NA,"GEM","2000-01-01",NA,""
100300009,"KRW maatlatten 2018 - Vis","AANTL","Aantal","VISSN","Vissen","NVT","n","NVT","OW","M12",NA,"GEM","2000-01-01",NA,""
100300010,"KRW maatlatten 2018 - Vis","AANTL","Aantal","VISSN","Vissen","NVT","n","NVT","OW","M26",NA,"GEM","2000-01-01",NA,""
100300011,"KRW maatlatten 2018 - Vis","AANTL","Aantal","VIS_groepRkl","Visgroep - soorten in kleine rivieren","NVT","n","NVT","OW","R4a",NA,"GEM","2000-01-01",NA,""
100300012,"KRW maatlatten 2018 - Vis","AANTL","Aantal","VIS_groepRkl","Visgroep - soorten in kleine rivieren","NVT","n","NVT","OW","R19",NA,"GEM","2000-01-01",NA,""
100300013,"KRW maatlatten 2018 - Vis","AANTL","Aantal","VIS_groepRkl","Visgroep - soorten in kleine rivieren","NVT","n","NVT","OW","R4b",NA,"GEM","2000-01-01",NA,""
