"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","Waardebewerkingmethode.code","Begindatum","Einddatum","Factor.A","Factor.B","Factor.C","Humuspercentage.laag","Humuspercentage.hoog","Bijzondere.Omstandigheid"
100500001,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","C2yazfs","ethylazinfos","2642-71-9","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500002,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","C1yazfs","methylazinfos","86-50-0","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500003,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","ClHAc","chloorazijnzuur","79-11-8","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500004,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","2ClAn","2-chlooraniline","95-51-2","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500005,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","3ClAn","3-chlooraniline","108-42-9","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500006,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","4ClAn","4-chlooraniline","106-47-8","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500007,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","4Cl3C1yFol","4-chloor-3-methylfenol","59-50-7","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500008,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","2ClFol","2-chloorfenol","95-57-8","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500009,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","3ClFol","3-chloorfenol","108-43-0","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500010,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","4ClFol","4-chloorfenol","106-48-9","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500011,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Clpn","chloropreen","126-99-8","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500012,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","3ClC3e","3-chloorpropeen","107-05-1","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500013,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","cumfs","cumafos","56-72-4","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500014,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","12DBrC2a","1,2-dibroomethaan","106-93-4","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500015,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","DC4ySn","dibutyltin (kation)","14488-53-0","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500016,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","33DClbzdne","3,3'-dichloorbenzidine","91-94-1","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500017,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","11DClC2e","1,1-dichlooretheen","75-35-4","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500018,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","12DClC2e","1,2-dichlooretheen","540-59-0","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500019,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","24DClFol","2,4-dichloorfenol","120-83-2","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500020,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","12DClC3a","1,2-dichloorpropaan","78-87-5","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500021,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","13DClC3e","1,3-dichloorpropeen","542-75-6","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500022,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","DClppP","dichloorprop-P","15165-67-0","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500023,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","DClvs","dichloorvos","62-73-7","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500024,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Dmtat","dimethoaat","60-51-5","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500025,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","epClhdne","epichloorhydrine","106-89-8","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500026,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","HxClC2a","hexachloorethaan","67-72-1","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500027,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","MCPA","2-methyl-4-chloorfenoxyazijnzuur","94-74-6","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500028,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","MCPP","mecoprop","93-65-2","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500029,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","mevfs","mevinfos","7786-34-7","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500030,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Mlnrn","monolinuron","1746-81-2","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500031,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Clidzn","chloridazon","1698-60-8","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500032,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","1122T4ClC2a","1,1,2,2-tetrachloorethaan","79-34-5","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500033,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Tol","tolueen","108-88-3","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500034,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Tazfs","triazofos","24017-47-8","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500035,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","111TClC2a","1,1,1-trichloorethaan","71-55-6","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500036,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","112TClC2a","1,1,2-trichloorethaan","79-00-5","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500037,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","245TClFol","2,4,5-trichloorfenol","95-95-4","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500038,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","246TClFol","2,4,6-trichloorfenol","88-06-2","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500039,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","ClC2e","chlooretheen (vinylchloride)","75-01-4","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500040,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","sxyln","som xyleen-isomeren","NVT","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500041,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","bentzn","bentazon","25057-89-0","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500042,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","NH4","ammonium","14798-03-9","mg/l","N","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,"NH4-pH-T"
100500043,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","NH4","ammonium","14798-03-9","mg/l","Nnf","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,"NH4-pH-T"
100500044,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Ba","barium","7440-39-3","ug/l","nf","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500045,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Be","beryllium","7440-41-7","ug/l","nf","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
