"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","Waardebewerkingmethode.code","Begindatum","Einddatum","Bijzondere.Omstandigheid"
100600001,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","alCl","alachloor","15972-60-8","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600002,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Ant","antraceen","120-12-7","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600003,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","atzne","atrazine","1912-24-9","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600004,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Ben","benzeen","71-43-2","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600005,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","PBDE28","2,4,4'-tribroomdifenylether","41318-75-6","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600006,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","PBDE47","2,2',4,4'-tetrabroomdifenylether","5436-43-1","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600007,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","PBDE99","2,2',4,4',5-pentabroomdifenylether","60348-60-9","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600008,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","PBDE100","2,2',4,4',6-pentabroomdifenylether","189084-64-8","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600009,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","PBDE153","2,2',4,4',5,5'-hexabroomdifenylether","68631-49-2","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600010,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","PBDE154","2,2',4,4',5,6'-hexabroomdifenylether","207122-15-4","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600011,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Cd","cadmium","7440-43-9","ug/l","nf","OW","JGM","2000-01-01",NA,"HH"
100600012,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","T4ClC1a","tetrachloormethaan (tetra)","56-23-5","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600013,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","sC10C13Clakn","som C10-C13-chlooralkanen","NVT","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600014,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Clfvfs","chloorfenvinfos","470-90-6","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600015,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","C2yClprfs","ethylchloorpyrifos","2921-88-2","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600016,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","sdrin4","som aldrin, dieldrin, endrin en isodrin","NVT","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600017,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","sDDX4","som 2,4'-DDT, 4,4'-DDT, 4,4'-DDD en 4,4'-DDE","NVT","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600018,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","44DDT","4,4'-dichloordifenyltrichloorethaan","50-29-3","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600019,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","12DClC2a","1,2-dichloorethaan","107-06-2","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600020,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","DClC1a","dichloormethaan","75-09-2","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600021,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","DEHP","bis(2-ethylhexyl)ftalaat (DEHP)","117-81-7","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600022,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Durn","diuron","330-54-1","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600023,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","endsfn","endosulfan (som alfa- en beta-isomeer)","115-29-7","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600024,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Flu","fluorantheen","206-44-0","ug/l","NVT","OW","JGM","2000-01-01",NA,""
100600025,"KRW prioritair - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","HCB","hexachloorbenzeen","118-74-1","ug/l","NVT","OW","JGM","2000-01-01",NA,""
