"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","KRWwatertype.code","AchtergrondWaarde","Waardebewerkingmethode.code","Begindatum","Einddatum","Bijzondere.Omstandigheid"
100800001,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","As","arseen","7440-38-2","ug/l","nf","OW","",0.5,"JGM","2002-11-02",NA,""
100800002,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","As","arseen","7440-38-2","ug/l","nf","OW","M30",NA,"JGM","2002-11-02",NA,"AC-SALNTT"
100800003,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","As","arseen","7440-38-2","ug/l","nf","OW","M31",NA,"JGM","2002-11-02",NA,"AC-SALNTT"
100800004,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","As","arseen","7440-38-2","ug/l","nf","OW","",0.5,"MAX","2002-11-02",NA,""
100800005,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","As","arseen","7440-38-2","ug/l","nf","OW","M30",NA,"MAX","2002-11-02",NA,"AC-SALNTT"
100800006,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","As","arseen","7440-38-2","ug/l","nf","OW","M31",NA,"MAX","2002-11-02",NA,"AC-SALNTT"
100800007,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","C2yazfs","ethylazinfos","2642-71-9","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800008,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","C2yazfs","ethylazinfos","2642-71-9","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800009,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","C1yazfs","methylazinfos","86-50-0","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800010,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","C1yazfs","methylazinfos","86-50-0","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800011,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","benzCl","benzylchloride","100-44-7","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800012,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","aaDClTol","alfa,alfa-dichloortolueen","98-87-3","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
