"ID_classificatie","bron","klasse","ondergrens","bovengrens","incl_onder","incl_boven"
"100000001","KRW maatlatten 2018 - Overige Waterflora","Zeer goed",4.5,100,"ja","ja"
"100000001","KRW maatlatten 2018 - Overige Waterflora","Goed",3.5,4.5,"ja","nee"
"100000001","KRW maatlatten 2018 - Overige Waterflora","Matig",2.5,3.5,"ja","nee"
"100000001","KRW maatlatten 2018 - Overige Waterflora","Ontoereikend",1.5,2.5,"ja","nee"
"100000001","KRW maatlatten 2018 - Overige Waterflora","Slecht",0,1.5,"ja","nee"
"100000001","KRW maatlatten 2018 - Overige Waterflora","Referentie goed",5,Inf,"ja","nee"
"100000002","KRW maatlatten 2018 - Overige Waterflora","Zeer goed",106,10000,"ja","ja"
"100000002","KRW maatlatten 2018 - Overige Waterflora","Goed",79,110,"ja","nee"
"100000002","KRW maatlatten 2018 - Overige Waterflora","Matig",53,79,"ja","nee"
"100000002","KRW maatlatten 2018 - Overige Waterflora","Ontoereikend",26,53,"ja","nee"
"100000002","KRW maatlatten 2018 - Overige Waterflora","Slecht",0,26,"ja","nee"
"100000002","KRW maatlatten 2018 - Overige Waterflora","Referentie goed",130,Inf,"ja","nee"
"100000003","KRW maatlatten 2018 - Overige Waterflora","Zeer goed",106,10000,"ja","ja"
"100000003","KRW maatlatten 2018 - Overige Waterflora","Goed",79,110,"ja","nee"
"100000003","KRW maatlatten 2018 - Overige Waterflora","Matig",53,79,"ja","nee"
"100000003","KRW maatlatten 2018 - Overige Waterflora","Ontoereikend",26,53,"ja","nee"
"100000003","KRW maatlatten 2018 - Overige Waterflora","Slecht",0,26,"ja","nee"
"100000003","KRW maatlatten 2018 - Overige Waterflora","Referentie goed",130,Inf,"ja","nee"
"100000004","KRW maatlatten 2018 - Overige Waterflora","Zeer goed",4.5,100,"ja","ja"
"100000004","KRW maatlatten 2018 - Overige Waterflora","Goed",3.5,4.5,"ja","nee"
"100000004","KRW maatlatten 2018 - Overige Waterflora","Matig",2.5,3.5,"ja","nee"
"100000004","KRW maatlatten 2018 - Overige Waterflora","Ontoereikend",1.5,2.5,"ja","nee"
"100000004","KRW maatlatten 2018 - Overige Waterflora","Slecht",0,1.5,"ja","nee"
"100000004","KRW maatlatten 2018 - Overige Waterflora","Referentie goed",5,Inf,"ja","nee"
"100000005","KRW maatlatten 2018 - Overige Waterflora","Zeer goed",4.5,100,"ja","ja"
"100000005","KRW maatlatten 2018 - Overige Waterflora","Goed",3.5,4.5,"ja","nee"
"100000005","KRW maatlatten 2018 - Overige Waterflora","Matig",2.5,3.5,"ja","nee"
"100000005","KRW maatlatten 2018 - Overige Waterflora","Ontoereikend",1.5,2.5,"ja","nee"
"100000005","KRW maatlatten 2018 - Overige Waterflora","Slecht",0,1.5,"ja","nee"
"100000005","KRW maatlatten 2018 - Overige Waterflora","Referentie goed",5,Inf,"ja","nee"
"100000006","KRW maatlatten 2018 - Overige Waterflora","Zeer goed",20,30,"ja","ja"
"100000006","KRW maatlatten 2018 - Overige Waterflora","Goed",45,60,"nee","ja"
"100000006","KRW maatlatten 2018 - Overige Waterflora","Matig",60,80,"nee","ja"
